Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2019-11-05,2011.3367919921875,2019.6950064077416,1981.3290225682458,2006.9063451279098,2693475
2019-11-06,1999.141357421875,2019.5119079746885,1990.463339192262,2009.6463268577222,2540719
2019-11-07,1996.2650146484375,2013.7579921460758,1986.9930987471612,2013.7579921460758,1915598
2019-11-08,1945.65771484375,2000.1466795422068,1940.2225784950613,2000.1466795422068,2788759
2019-11-11,1919.1673583984375,1953.9251648162783,1910.0783167979607,1950.271260814752,2983768
2019-11-13,1990.0986328125,1994.8486627647492,1934.741905516036,1934.741905516036,3823365
2019-11-14,2006.72412109375,2009.6471996899786,1960.9588842941694,1998.2287496917402,2995915
2019-11-15,1986.3076171875,2020.1519437330762,1981.1008491843133,2005.993067346975,2724180
2019-11-18,1966.3485107421875,1998.4571026732297,1962.8315389642794,1989.9160129363672,1611089
2019-11-19,1926.33837890625,1968.221122859836,1922.867125240734,1966.7139765526367,2975313
2019-11-20,1926.10986328125,1950.2712588638542,1913.2754808854063,1938.3503524674786,2894129
2019-11-21,1934.8336181640625,1942.5981642176662,1925.0592464833023,1929.2613253189527,2052574
2019-11-22,1892.447998046875,1924.6937422715412,1882.2171124587142,1915.5589831720085,3742049
2019-11-25,1901.4002685546875,1904.5517161091932,1874.6353775095458,1895.0516550429675,2737010
2019-11-26,1869.5654296875,1916.3809569687112,1858.9691317948516,1909.0276545574723,6561580
2019-11-27,1876.5535888671875,1892.4479803450677,1869.47415063127,1874.452549690632,2907521
2019-11-28,1897.609130859375,1913.1837155626813,1881.760235783409,1888.2002850771453,2924429
2019-11-29,1875.59423828125,1904.597095734278,1868.7888879861346,1904.597095734278,2064271
2019-12-02,1846.1805419921875,1888.794104205951,1841.5674440196753,1881.7603842661365,3809860
2019-12-03,1873.5389404296875,1883.5871746299442,1836.0864311378214,1852.2549088385585,4664774
2019-12-04,1898.659912109375,1901.857078187019,1868.5152033773043,1875.366273543684,3334301
2019-12-05,1937.7559814453125,1942.780097625311,1889.3874893702664,1902.7698187158362,3902721
2019-12-06,1939.8572998046875,1943.876504121626,1919.2126574997822,1940.2226009183898,1829461
2019-12-09,1882.171142578125,1943.8307582614693,1875.82253045552,1943.8307582614693,2244747
2019-12-10,1838.689697265625,1882.5366461136057,1829.9203520993383,1881.7601024957628,4520045
2019-12-11,1865.2264404296875,1870.7986210520621,1833.117740623157,1850.1540882581255,4943024
2019-12-12,1846.0435791015625,1903.3640837490364,1812.3362940724471,1873.6306198376826,7137306
2019-12-13,1892.036865234375,1897.654652537678,1833.3460415330792,1847.9616552174487,5711133
2019-12-16,1942.7347412109375,1951.184392724374,1900.3038330792092,1914.6453591527566,5574177
2019-12-17,1977.6297607421875,1981.329383031665,1935.655584437113,1942.506654226296,6059673
2019-12-18,1980.1875,2012.7985469662817,1966.7137296736248,1985.8967247145658,8251081
2019-12-19,2036.1832275390625,2042.9885774818024,1980.0044671924804,1991.1945454728973,6251505
2019-12-20,2030.5655517578125,2052.306323454095,2017.1832186152046,2027.9165607724462,5548338
2019-12-23,2038.6044921875,2047.9676218653717,2018.78210615572,2018.78210615572,2247329
2019-12-24,2023.8968505859375,2049.4284518034265,2019.8317053067924,2045.2720927641774,1805896
2019-12-26,2011.4278564453125,2036.1374197585658,2005.2618952145497,2024.6275362545268,1880367
